"country","year","sector","subsector","variable","units","value"
"Nigeria",2018,"Plantains",NA,"N surplus","kg N y-1",-765.512216989996
"Nigeria",2018,"Plantains",NA,"NUE","fraction",36.1562671742386
"Nigeria",2018,"Plantains",NA,"ymax","kg N y-1",-13123040.0015632
"Nigeria",2018,"Potatoes and products",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Potatoes and products",NA,"above ground residue","kg y-1",28475962.5
"Nigeria",2018,"Potatoes and products",NA,"below ground residue","kg y-1",5695192.5
"Nigeria",2018,"Potatoes and products",NA,"total residue burned","kg y-1",7118990.625
"Nigeria",2018,"Potatoes and products",NA,"yield","kg ha-1 y-1",3981.13188685745
"Nigeria",2018,"Potatoes and products",NA,"land area","ha",325112
"Nigeria",2018,"Potatoes and products",NA,"N surplus","kg N y-1",-997.395203944919
"Nigeria",2018,"Potatoes and products",NA,"NUE","fraction",46.805529278248
"Nigeria",2018,"Potatoes and products",NA,"ymax","kg N y-1",-22134166.6668429
"Nigeria",2018,"Pulses",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Pulses",NA,"above ground residue","kg y-1",2909819921.25
"Nigeria",2018,"Pulses",NA,"below ground residue","kg y-1",552865785.0375
"Nigeria",2018,"Pulses",NA,"total residue burned","kg y-1",727454980.312499
"Nigeria",2018,"Pulses",NA,"yield","kg ha-1 y-1",18928.2632543579
"Nigeria",2018,"Pulses",NA,"land area","ha",149498
"Nigeria",2018,"Pulses",NA,"N surplus","kg N y-1",-66605.7120962492
"Nigeria",2018,"Pulses",NA,"NUE","fraction",3059.87764795367
"Nigeria",2018,"Pulses",NA,"ymax","kg N y-1",-96630511091.2677
"Nigeria",2018,"Rape and Mustard Oil",NA,"residue fuel","kg y-1",0
"Nigeria",2018,"Rape and Mustard Oil",NA,"above ground residue","kg y-1",0
"Nigeria",2018,"Rape and Mustard Oil",NA,"below ground residue","kg y-1",0
"Nigeria",2018,"Rape and Mustard Oil",NA,"total residue burned","kg y-1",0
"Nigeria",2018,"Rape and Mustard Oil",NA,"yield","kg ha-1 y-1",NA
