"country","year","sector","subsector","species","mgmt","animal","pollutant","units","value"
"Nigeria",2018,"crops","manure application","Coconuts - Incl Copra",NA,NA,"N2O","kg y-1",5474.60800987993
"Nigeria",2018,"crops","manure application","Coffee and products",NA,NA,"N2O","kg y-1",160.818395178072
"Nigeria",2018,"crops","manure application","Cottonseed Oil",NA,NA,"N2O","kg y-1",0
"Nigeria",2018,"crops","manure application","Dates",NA,NA,"N2O","kg y-1",0
"Nigeria",2018,"crops","manure application","Fruits, Other",NA,NA,"N2O","kg y-1",30022.527572178
"Nigeria",2018,"crops","manure application","Grapefruit and products",NA,NA,"N2O","kg y-1",0
"Nigeria",2018,"crops","manure application","Grapes and products (excl wine)",NA,NA,"N2O","kg y-1",0
"Nigeria",2018,"crops","manure application","Groundnut Oil",NA,NA,"N2O","kg y-1",0
"Nigeria",2018,"crops","manure application","Groundnuts (Shelled Eq)",NA,NA,"N2O","kg y-1",672905.39633436
"Nigeria",2018,"crops","manure application","Lemons, Limes and products",NA,NA,"N2O","kg y-1",0
"Nigeria",2018,"crops","manure application","Maize and products",NA,NA,"N2O","kg y-1",1216602.04733799
"Nigeria",2018,"crops","manure application","Maize Germ Oil",NA,NA,"N2O","kg y-1",0
"Nigeria",2018,"crops","manure application","Millet and products",NA,NA,"N2O","kg y-1",479479.599001459
"Nigeria",2018,"crops","manure application","Nuts and products",NA,NA,"N2O","kg y-1",25488.7339474075
"Nigeria",2018,"crops","manure application","Oats",NA,NA,"N2O","kg y-1",0
"Nigeria",2018,"crops","manure application","Oilcrops Oil, Other",NA,NA,"N2O","kg y-1",0
"Nigeria",2018,"crops","manure application","Oilcrops, Other",NA,NA,"N2O","kg y-1",0
"Nigeria",2018,"crops","manure application","Olive Oil",NA,NA,"N2O","kg y-1",0
"Nigeria",2018,"crops","manure application","Olives (including preserved)",NA,NA,"N2O","kg y-1",0
"Nigeria",2018,"crops","manure application","Onions",NA,NA,"N2O","kg y-1",2815.83907028775
"Nigeria",2018,"crops","manure application","Oranges, Mandarines",NA,NA,"N2O","kg y-1",0
"Nigeria",2018,"crops","manure application","Palm Oil",NA,NA,"N2O","kg y-1",0
"Nigeria",2018,"crops","manure application","Palmkernel Oil",NA,NA,"N2O","kg y-1",0
"Nigeria",2018,"crops","manure application","Peas",NA,NA,"N2O","kg y-1",0
"Nigeria",2018,"crops","manure application","Pineapples and products",NA,NA,"N2O","kg y-1",35263.4937626483
"Nigeria",2018,"crops","manure application","Plantains",NA,NA,"N2O","kg y-1",89765.9366700846
"Nigeria",2018,"crops","manure application","Potatoes and products",NA,NA,"N2O","kg y-1",58028.8458303366
"Nigeria",2018,"crops","manure application","Pulses",NA,NA,"N2O","kg y-1",26683.716362188
"Nigeria",2018,"crops","manure application","Rape and Mustard Oil",NA,NA,"N2O","kg y-1",0
"Nigeria",2018,"crops","manure application","Rape and Mustardseed",NA,NA,"N2O","kg y-1",0
"Nigeria",2018,"crops","manure application","Rice and products",NA,NA,"N2O","kg y-1",1048374.40421071
"Nigeria",2018,"crops","manure application","Roots, Other",NA,NA,"N2O","kg y-1",2792176.45509846
"Nigeria",2018,"crops","manure application","Rye and products",NA,NA,"N2O","kg y-1",0
"Nigeria",2018,"crops","manure application","Sesame seed",NA,NA,"N2O","kg y-1",123716.645419931
"Nigeria",2018,"crops","manure application","Sesameseed Oil",NA,NA,"N2O","kg y-1",0
"Nigeria",2018,"crops","manure application","Sorghum and products",NA,NA,"N2O","kg y-1",998841.44605194
"Nigeria",2018,"crops","manure application","Soyabean Oil",NA,NA,"N2O","kg y-1",0
"Nigeria",2018,"crops","manure application","Soyabeans",NA,NA,"N2O","kg y-1",124295.306060516
"Nigeria",2018,"crops","manure application","Sugar (Raw Equivalent)",NA,NA,"N2O","kg y-1",0
"Nigeria",2018,"crops","manure application","Sugar beet",NA,NA,"N2O","kg y-1",0
"Nigeria",2018,"crops","manure application","Sugar cane",NA,NA,"N2O","kg y-1",15181.8990644356
"Nigeria",2018,"crops","manure application","Sunflower seed",NA,NA,"N2O","kg y-1",0
"Nigeria",2018,"crops","manure application","Sunflowerseed Oil",NA,NA,"N2O","kg y-1",0
"Nigeria",2018,"crops","manure application","Sweet potatoes",NA,NA,"N2O","kg y-1",296261.396787136
"Nigeria",2018,"crops","manure application","Tea (including mate)",NA,NA,"N2O","kg y-1",0
"Nigeria",2018,"crops","manure application","Tomatoes and products",NA,NA,"N2O","kg y-1",134740.469751771
"Nigeria",2018,"crops","manure application","Vegetables, Other",NA,NA,"N2O","kg y-1",136634.949714501
"Nigeria",2018,"crops","manure application","Wheat and products",NA,NA,"N2O","kg y-1",10029.2848224815
"Nigeria",2018,"crops","manure application","Yams",NA,NA,"N2O","kg y-1",1083038.53263373
"Nigeria",2018,"crops","synthetic fertiliser application","Apples and products",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","synthetic fertiliser application","Bananas",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","synthetic fertiliser application","Barley and products",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","synthetic fertiliser application","Beans",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","synthetic fertiliser application","Cassava and products",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","synthetic fertiliser application","Cereals, Other",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","synthetic fertiliser application","Citrus, Other",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","synthetic fertiliser application","Cocoa Beans and products",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","synthetic fertiliser application","Coconut Oil",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","synthetic fertiliser application","Coconuts - Incl Copra",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","synthetic fertiliser application","Coffee and products",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","synthetic fertiliser application","Cottonseed Oil",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","synthetic fertiliser application","Dates",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","synthetic fertiliser application","Fruits, Other",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","synthetic fertiliser application","Grapefruit and products",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","synthetic fertiliser application","Grapes and products (excl wine)",NA,NA,"NH3","kg y-1",0
"Nigeria",2018,"crops","synthetic fertiliser application","Groundnut Oil",NA,NA,"NH3","kg y-1",0
